"_id","Commune","Date_debut","Date_fin","Departement","id","Lambert_X","Lambert_Y","Nom_du_site","Periodes","Region","Themes","Type_intervention"
"608ab356aa2e0000950006bd","Lieusaint","15/07/2002","04/10/2002","Seine-et-Marne","41","666885","6837798","ZAC de la Pyramide, lot C1","#Protohistoire#Antiquité","Ile-de-France","#Habitats, architecture, édifices","fouille"
"608ab356aa2e0000950006be","Changis-sur-Marne","29/05/2002","10/10/2002","Seine-et-Marne","42","700608","6873137","Les Pétreaux 1","#Protohistoire","Ile-de-France",,"fouille"
"608ab356aa2e0000950006bf","Richelieu","01/10/2002","22/10/2002","Indre-et-Loire","43","496567","6662172","Carrefour RD749","#Moyen Âge","Centre",,"fouille"
"608ab356aa2e0000950006c0","Nîmes","06/05/2002","25/10/2002","Gard","44","811500,63","6303961,734","Magaille Est","#Protohistoire#Antiquité#Autres périodes","Languedoc-Roussillon",,"fouille"
"608ab356aa2e0000950006c1","Tours","19/08/2002","25/10/2002","Indre-et-Loire","45","525450","6702118","Parking Anatole-France","#Antiquité#Moyen Âge#Moderne, Contemporain","Centre",,"fouille"
"608ab356aa2e0000950006c2","Seclin","26/08/2002","25/10/2002","Nord","46","701184,699","7050258,67","Le Petit Marais","#Antiquité#Moyen Âge","Nord-Pas-de-Calais",,"fouille"
"608ab356aa2e0000950006c3","Jaulny","14/10/2002","30/10/2002","Meurthe-et-Moselle","47","911600","6878700","Le Fey","#Antiquité","Lorraine","#Cultes et pratiques funéraires","fouille"
"608ab356aa2e0000950006c4","Lattes","30/09/2002","15/11/2002","Hérault","48","773045,12","6274642,69","Le Castrum","#Autres périodes","Languedoc-Roussillon",,"fouille"
"608ab356aa2e0000950006c5","Reims","30/09/2002","15/11/2002","Marne","49","775850","6906890","30-32 et 34 rue de l'Écu","#Protohistoire#Antiquité#Moderne, Contemporain","Champagne-Ardenne","#Habitats, architecture, édifices","fouille"
"608ab356aa2e0000950006c6","Saint-Vigor-d'Ymonville","04/03/2002","16/11/2002","Seine-Maritime","50","506666","6935633","La Mare des Mares (carrière Lafarge tranche 4)","#Néolithique#Protohistoire#Antiquité","Haute-Normandie",,"fouille"
"608ab356aa2e0000950006c7","Paris","23/09/2002","19/11/2002","Paris","51","651793","6860420","64 rue Gay-Lussac - 3 rue des Ursulines","#Antiquité#Moderne, Contemporain","Ile-de-France",,"fouille"
"608ab356aa2e0000950006c8","Barcy","29/07/2002","28/11/2002","Seine-et-Marne","52","691149","6878713","Le Marais de Narcy","#Antiquité","Ile-de-France","#Habitats, architecture, édifices#Industrie, artisanat","fouille"
"608ab356aa2e0000950006c9","Solgne","01/10/2002","30/11/2002","Moselle","53","941500","6879400","Poirier Gaillard","#Antiquité","Lorraine","#Échange et transport#Habitats, architecture, édifices#Peuplement, occupation espace","fouille"
"608ab356aa2e0000950006ca","Toulouse","01/07/2002","01/12/2002","Haute-Garonne","54","574439","6278885","Place des Carmes","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Midi-Pyrénées",,"fouille"
"608ab356aa2e0000950006cb","Vandières","26/11/2002","09/12/2002","Meurthe-et-Moselle","55","922000","6876700","Bêtes aux Champs","#Protohistoire#Antiquité","Lorraine","#Habitats, architecture, édifices","fouille"
"608ab356aa2e0000950006cc","Pont-du-Château","13/11/2002","13/12/2002","Puy-de-Dôme","56","717113,089","6520647,161","Champ Lamet","#Antiquité","Auvergne",,"fouille"
"608ab356aa2e0000950006cd","Conty","18/11/2002","20/12/2002","Somme","57","638995,884","6960165,356","ZAC  Henri-Dunant","#Néolithique","Picardie",,"fouille"
"608ab356aa2e0000950006ce","Vasseny","07/10/2002","22/12/2002","Aisne","58","736029,316","6918255,907","Dessus des Groins","#Protohistoire","Picardie","#Cultes et pratiques funéraires","fouille"
"608ab356aa2e0000950006cf","Tours","01/01/1951","31/12/2002","Indre-et-Loire","59","525653,81","6701812,14","Temple de la rue Nationale","#Antiquité#Moyen Âge","Centre","#Archéologie des conflits#Cultes et pratiques funéraires#Organisation sociale et politique","fouille"
"608ab356aa2e0000950006d0","Ronchères","01/06/2002","31/12/2002","Aisne","60","743356,912","6892529,784","Le Bois de la Forge","#Protohistoire#Antiquité","Picardie","#Habitats, architecture, édifices#Industrie, artisanat","fouille"
"608ab357aa2e0000950006d1","Guichainville","19/08/2002","01/01/2003","Eure","61","567010","6877010","Le Long Buisson 2","#Autres périodes","Haute-Normandie",,"fouille"
"608ab357aa2e0000950006d2","Reims","16/09/2002","03/01/2003","Marne","62","775475","6906150","20  rue de Contrai","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Champagne-Ardenne",,"fouille"
"608ab357aa2e0000950006d3","Nochize","15/01/2003","16/01/2003","Saône-et-Loire","63","790181,031","6588974,37","Ancienne église","#Moderne, Contemporain","Bourgogne",,"fouille"
"608ab357aa2e0000950006d4","Bénodet","06/01/2003","11/02/2003","Finistère","64","170245","6775324","Route de Kernéost","#Protohistoire#Moyen Âge","Bretagne",,"fouille"
"608ab357aa2e0000950006d5","Prény","02/01/2002","28/02/2003","Meurthe-et-Moselle","65","919300","6879500","Ferme de Tautecourt","#Néolithique#Protohistoire#Antiquité#Moyen Âge","Lorraine","#Cultes et pratiques funéraires#Habitats, architecture, édifices#Industrie, artisanat","fouille"
"608ab357aa2e0000950006d6","Champfleury","01/10/2002","28/02/2003","Marne","66","773770","6901380","RN 51","#Protohistoire#Antiquité","Champagne-Ardenne","#Habitats, architecture, édifices#Industrie, artisanat","fouille"
"608ab357aa2e0000950006d7","Pagny-sur-Moselle","27/02/2003","12/03/2003","Meurthe-et-Moselle","67","921100","6880200","Moulon 2 - Maladrie","#Antiquité","Lorraine","#Habitats, architecture, édifices#Industrie, artisanat","fouille"
"608ab357aa2e0000950006d8","Poitiers","03/12/2001","14/03/2003","Vienne","68","496262","6612714","Rue de la Marne","#Antiquité#Moyen Âge#Moderne, Contemporain","Poitou-Charentes",,"fouille"
"608ab357aa2e0000950006d9","Gerstheim","04/03/2003","17/03/2003","Bas-Rhin","69","1047480,684","6818949,519","Domaine de Bancalis","#Protohistoire","Alsace",,"fouille"
"608ab357aa2e0000950006da","Évreux","05/08/2002","30/03/2003","Eure","70","565500","6881300","Le Clos-au-Duc","#Antiquité","Haute-Normandie",,"fouille"
"608ab357aa2e0000950006db","Aubevoye","24/03/2003","31/03/2003","Eure","71","579245","6897795","Le Chemin Vert","#Antiquité#Moyen Âge","Haute-Normandie",,"fouille"
"608ab357aa2e0000950006dc","Lieusaint","20/11/2002","04/04/2003","Seine-et-Marne","72","666136","6838082","Rond-Point Schumann","#Antiquité","Ile-de-France","#Échange et transport#Habitats, architecture, édifices","fouille"
"608ab357aa2e0000950006dd","Perpignan","10/03/2003","04/04/2003","Pyrénées-Orientales","73","691025","6177436","Hôpital militaire","#Moyen Âge#Moderne, Contemporain","Languedoc-Roussillon",,"fouille"
"608ab357aa2e0000950006de","Saint-Prix","24/02/2003","18/04/2003","Allier","74","749329,473","6570861,453","Les Jeanrais","#Moyen Âge","Auvergne",,"fouille"
"608ab357aa2e0000950006df","Saint-Martin-de-Fontenay","04/04/2003","18/04/2003","Calvados","75","453514","6895121","Le Diguet 1","#Néolithique#Protohistoire","Basse-Normandie",,"fouille"
"608ab357aa2e0000950006e0","Le Cendre","21/03/2003","22/04/2003","Puy-de-Dôme","76","715365,463","6512709,603","Gondole","#Protohistoire","Auvergne",,"fouille"
"608ab357aa2e0000950006e1","La Charité-sur-Loire","28/02/2003","30/04/2003","Nièvre","77","701284","6675238","L'abbaye","#Moyen Âge","Bourgogne","#Cultes et pratiques funéraires","fouille"
"608ab357aa2e0000950006e2","Saint-Maximin-la-Sainte-Baume","30/03/2003","30/04/2003","Var","78","931332,45","6266145,9","Mirade","#Moyen Âge","Provences-Alpes-Côte-d'Azur",,"fouille"
"608ab357aa2e0000950006e3","Wissembourg","12/05/2003","23/05/2003","Bas-Rhin","79","1061389","6893110","Rue des Carmes","#Moyen Âge#Moderne, Contemporain","Alsace",,"fouille"
"608ab357aa2e0000950006e4","Landos","25/03/2003","29/05/2003","Haute-Loire","80","765689,916","6416460,572","Landos St-Félix","#Antiquité#Moyen Âge","Auvergne","#Arts, biens de prestige#Cultes et pratiques funéraires","fouille"
